UID,SUBMISSION,MILESTONE,ACTUALDATE,PLANNEDDATE
U4013031,DRB436E melanoma,Submission KO,12/15/2020,7/30/2021
U4013031,DRB436E melanoma,Last study iDBL,NULL,NULL
U4013031,DRB436E melanoma,Last study iCSR Published,NULL,NULL
U4013031,DRB436E melanoma,Last SumOutp,3/19/2021,3/19/2021
U4013031,DRB436E melanoma,First dispatch,7/29/2021,3/1/2023
U4013031,DRB436E melanoma,WP close out,NULL,11/30/2023
U4012371,AIN457N  PFS 300mg/2ml Response CRL,Submission KO,6/14/2022,6/1/2022
U4012371,AIN457N  PFS 300mg/2ml Response CRL,Last study iDBL,NULL,NULL
U4012371,AIN457N  PFS 300mg/2ml Response CRL,Last study iCSR Published,NULL,NULL
U4012371,AIN457N  PFS 300mg/2ml Response CRL,First dispatch,2/10/2021,11/15/2022
U4012371,AIN457N  PFS 300mg/2ml Response CRL,WP close out,NULL,5/31/2023
U4012371,AIN457N  PFS 300mg/2ml Response CRL,Last SumOutp,NULL,NULL
U4013739,VDT482A1 2L ESCC MAA,Submission KO,5/10/2021,5/10/2021
U4013739,VDT482A1 2L ESCC MAA,Last study iDBL,NULL,NULL
U4013739,VDT482A1 2L ESCC MAA,Last study iCSR Published,NULL,NULL
U4013739,VDT482A1 2L ESCC MAA,Last SumOutp,1/24/2022,10/29/2021
U4013739,VDT482A1 2L ESCC MAA,First dispatch,3/3/2022,1/3/2022
U4013739,VDT482A1 2L ESCC MAA,WP close out,NULL,5/30/2023
U4018115,CTL019C DLBCL PAES Type II EU,Submission KO,4/6/2022,4/6/2022
U4018115,CTL019C DLBCL PAES Type II EU,Last study DBL,NULL,2/22/2039
U4018115,CTL019C DLBCL PAES Type II EU,Last study CSR Published,NULL,2/23/2039
U4018115,CTL019C DLBCL PAES Type II EU,Last SumOutp,6/6/2022,6/6/2022
U4018115,CTL019C DLBCL PAES Type II EU,First dispatch,6/30/2022,6/30/2022
U4018115,CTL019C DLBCL PAES Type II EU,WP close out,NULL,8/31/2023
U4018262,CTL019B pALL PAES Type II ,Submission KO,1/28/2022,1/28/2022
U4018262,CTL019B pALL PAES Type II ,Last study iDBL,NULL,NULL
U4018262,CTL019B pALL PAES Type II ,Last study iCSR Published,NULL,NULL
U4018262,CTL019B pALL PAES Type II ,Last SumOutp,2/28/2022,2/28/2022
U4018262,CTL019B pALL PAES Type II ,First dispatch,5/6/2022,5/31/2022
U4018262,CTL019B pALL PAES Type II ,WP close out,NULL,8/31/2023
U4014876,LCZ696F pediatric HF,Submission KO,7/23/2021,9/1/2021
U4014876,LCZ696F pediatric HF,Last study iDBL,NULL,NULL
U4014876,LCZ696F pediatric HF,Last study iCSR Published,NULL,NULL
U4014876,LCZ696F pediatric HF,Last SumOutp,4/29/2022,5/30/2022
U4014876,LCZ696F pediatric HF,First dispatch,6/16/2022,6/30/2022
U4014876,LCZ696F pediatric HF,WP close out,NULL,1/29/2024
U4018114,AAA617B1 mCRPC sNDA US,Submission KO,6/22/2022,6/22/2022
U4018114,AAA617B1 mCRPC sNDA US,Last study iDBL,NULL,11/22/2022
U4018114,AAA617B1 mCRPC sNDA US,Last study iCSR Published,NULL,2/14/2023
U4018114,AAA617B1 mCRPC sNDA US,Last SumOutp,NULL,1/12/2023
U4018114,AAA617B1 mCRPC sNDA US,First dispatch,NULL,2/28/2023
U4018114,AAA617B1 mCRPC sNDA US,WP close out,NULL,9/29/2023
U4019109,AIN457A Pso A1401 Article46,Submission KO,9/2/2022,8/31/2022
U4019109,AIN457A Pso A1401 Article46,Last study DBL,6/6/2022,6/6/2022
U4019109,AIN457A Pso A1401 Article46,Last study CSR Published,9/13/2022,9/12/2022
U4019109,AIN457A Pso A1401 Article46,Last SumOutp,NULL,10/31/2022
U4019109,AIN457A Pso A1401 Article46,First dispatch,NULL,12/6/2022
U4019109,AIN457A Pso A1401 Article46,WP close out,NULL,8/1/2023
U4013046,IGE025K1 asthma autoinjector,Submission KO,4/7/2021,7/1/2021
U4013046,IGE025K1 asthma autoinjector,Last study DBL,8/12/2021,8/10/2021
U4013046,IGE025K1 asthma autoinjector,Last study CSR Published,2/16/2022,2/4/2022
U4013046,IGE025K1 asthma autoinjector,Last SumOutp,3/29/2022,3/31/2022
U4013046,IGE025K1 asthma autoinjector,First dispatch,7/28/2022,8/9/2022
U4013046,IGE025K1 asthma autoinjector,WP close out,NULL,10/2/2023
U4019422,BYL719F1 PROS sNDA/Type II/CN NDA,Submission KO,NULL,12/1/2022
U4019422,BYL719F1 PROS sNDA/Type II/CN NDA,Last study DBL,NULL,4/5/2030
U4019422,BYL719F1 PROS sNDA/Type II/CN NDA,Last study CSR Published,NULL,7/30/2030
U4019422,BYL719F1 PROS sNDA/Type II/CN NDA,Last SumOutp,NULL,9/29/2023
U4019422,BYL719F1 PROS sNDA/Type II/CN NDA,First dispatch,NULL,12/22/2023
U4019422,BYL719F1 PROS sNDA/Type II/CN NDA,WP close out,NULL,1/31/2025
U4013748,ICL670F Iron overload in pediatrics Type II,Submission KO,6/1/2021,7/1/2021
U4013748,ICL670F Iron overload in pediatrics Type II,Last study iDBL,NULL,NULL
U4013748,ICL670F Iron overload in pediatrics Type II,Last study iCSR Published,NULL,NULL
U4013748,ICL670F Iron overload in pediatrics Type II,Last SumOutp,10/29/2021,10/29/2021
U4013748,ICL670F Iron overload in pediatrics Type II,First dispatch,12/20/2021,11/26/2021
U4013748,ICL670F Iron overload in pediatrics Type II,WP close out,NULL,1/20/2023
U4016029,AIN457F PsA NDA China,Submission KO,3/30/2022,3/17/2022
U4016029,AIN457F PsA NDA China,Last study iDBL,NULL,NULL
U4016029,AIN457F PsA NDA China,Last study iCSR Published,NULL,NULL
U4016029,AIN457F PsA NDA China,Last SumOutp,9/26/2022,7/27/2022
U4016029,AIN457F PsA NDA China,First dispatch,NULL,11/10/2022
U4016029,AIN457F PsA NDA China,WP close out,NULL,2/1/2024
U4012370,AIN457A Pso flex dosing,Submission KO,4/15/2020,4/15/2020
U4012370,AIN457A Pso flex dosing,Last study DBL,9/10/2020,9/22/2020
U4012370,AIN457A Pso flex dosing,Last study CSR Published,2/18/2021,5/19/2021
U4012370,AIN457A Pso flex dosing,Last SumOutp,10/28/2020,10/28/2020
U4012370,AIN457A Pso flex dosing,First dispatch,3/31/2021,3/31/2021
U4012370,AIN457A Pso flex dosing,WP close out,NULL,5/26/2023
U4016391,RTH258A nAMD posology label update EU,Submission KO,12/9/2021,12/9/2021
U4016391,RTH258A nAMD posology label update EU,Last study iDBL,NULL,NULL
U4016391,RTH258A nAMD posology label update EU,Last study iCSR Published,NULL,NULL
U4016391,RTH258A nAMD posology label update EU,Last SumOutp,5/13/2022,5/13/2022
U4016391,RTH258A nAMD posology label update EU,First dispatch,8/22/2022,8/26/2022
U4016391,RTH258A nAMD posology label update EU,WP close out,NULL,9/29/2023
U4018654,VDT482A1/D1 1/2L ESCC JP,Submission KO,6/1/2022,7/1/2022
U4018654,VDT482A1/D1 1/2L ESCC JP,Last study iDBL,NULL,NULL
U4018654,VDT482A1/D1 1/2L ESCC JP,Last study iCSR Published,NULL,NULL
U4018654,VDT482A1/D1 1/2L ESCC JP,Last SumOutp,NULL,10/31/2022
U4018654,VDT482A1/D1 1/2L ESCC JP,First dispatch,NULL,2/28/2023
U4018654,VDT482A1/D1 1/2L ESCC JP,WP close out,NULL,3/29/2024
U4013055,ACZ885H gouty arthritis sBLA,Submission KO,9/8/2021,9/9/2021
U4013055,ACZ885H gouty arthritis sBLA,Last study DBL,7/22/2021,4/28/2021
U4013055,ACZ885H gouty arthritis sBLA,Last study CSR Published,1/21/2022,12/6/2021
U4013055,ACZ885H gouty arthritis sBLA,Last SumOutp,9/13/2022,8/31/2022
U4013055,ACZ885H gouty arthritis sBLA,First dispatch,10/27/2022,11/2/2022
U4013055,ACZ885H gouty arthritis sBLA,WP close out,NULL,1/22/2024
U4019421,AMN107A CML Type II,Submission KO,NULL,9/28/2022
U4019421,AMN107A CML Type II,Last study iDBL,NULL,NULL
U4019421,AMN107A CML Type II,Last study iCSR Published,NULL,NULL
U4019421,AMN107A CML Type II,Last SumOutp,NULL,10/12/2022
U4019421,AMN107A CML Type II,First dispatch,NULL,12/15/2022
U4019421,AMN107A CML Type II,WP close out,NULL,1/31/2024
U4019112,AAA517A1 PC QA report PAM,Submission KO,8/11/2022,8/11/2022
U4019112,AAA517A1 PC QA report PAM,Last study iDBL,3/12/2021,3/12/2021
U4019112,AAA517A1 PC QA report PAM,Last study iCSR Published,6/28/2021,6/28/2021
U4019112,AAA517A1 PC QA report PAM,Last SumOutp,7/15/2022,7/15/2022
U4019112,AAA517A1 PC QA report PAM,First dispatch,10/28/2022,10/28/2022
U4019112,AAA517A1 PC QA report PAM,WP close out,NULL,2/28/2023
U4015341,KJX839A1 hyperlipidemia NDA China ,Submission KO,10/18/2021,10/18/2021
U4015341,KJX839A1 hyperlipidemia NDA China ,Last study DBL,NULL,2/8/2027
U4015341,KJX839A1 hyperlipidemia NDA China ,Last study CSR Published,NULL,5/28/2027
U4015341,KJX839A1 hyperlipidemia NDA China ,Last SumOutp,8/16/2022,9/6/2022
U4015341,KJX839A1 hyperlipidemia NDA China ,First dispatch,NULL,11/11/2022
U4015341,KJX839A1 hyperlipidemia NDA China ,WP close out,NULL,2/29/2024
U4012352,SEG101B pediatric sickle cell disease,Submission KO,6/16/2020,6/16/2020
U4012352,SEG101B pediatric sickle cell disease,Last study iDBL,10/27/2020,10/19/2020
U4012352,SEG101B pediatric sickle cell disease,Last study iCSR Published,3/15/2021,2/18/2021
U4012352,SEG101B pediatric sickle cell disease,Last SumOutp,NULL,4/3/2023
U4012352,SEG101B pediatric sickle cell disease,First dispatch,NULL,4/17/2023
U4012352,SEG101B pediatric sickle cell disease,WP close out,NULL,6/13/2023
U4012340,QVM149B asthma,Submission KO,10/28/2020,10/28/2020
U4012340,QVM149B asthma,Last study DBL,9/26/2019,10/14/2019
U4012340,QVM149B asthma,Last study CSR Published,3/11/2020,2/19/2020
U4012340,QVM149B asthma,Last SumOutp,11/18/2020,11/18/2020
U4012340,QVM149B asthma,First dispatch,3/12/2021,3/12/2021
U4012340,QVM149B asthma,WP close out,NULL,12/23/2022
U4016394,VDT482F1 gastric cancer sBLA/Type II,Submission KO,11/3/2021,3/1/2022
U4016394,VDT482F1 gastric cancer sBLA/Type II,Last study iDBL,NULL,NULL
U4016394,VDT482F1 gastric cancer sBLA/Type II,Last study iCSR Published,NULL,NULL
U4016394,VDT482F1 gastric cancer sBLA/Type II,Last SumOutp,NULL,10/28/2022
U4016394,VDT482F1 gastric cancer sBLA/Type II,First dispatch,NULL,12/23/2022
U4016394,VDT482F1 gastric cancer sBLA/Type II,WP close out,NULL,8/11/2023
U4012347,INC424C/D GVHD,Submission KO,4/10/2019,4/10/2019
U4012347,INC424C/D GVHD,Last study iDBL,NULL,NULL
U4012347,INC424C/D GVHD,Last study iCSR Published,NULL,NULL
U4012347,INC424C/D GVHD,Last SumOutp,12/25/2020,12/25/2020
U4012347,INC424C/D GVHD,First dispatch,2/2/2021,2/2/2021
U4012347,INC424C/D GVHD,WP close out,NULL,11/30/2022
U4015850,KJX839A1 hypercholesterolemia JP,Submission KO,9/28/2021,9/28/2021
U4015850,KJX839A1 hypercholesterolemia JP,Last study iDBL,5/30/2022,5/30/2022
U4015850,KJX839A1 hypercholesterolemia JP,Last study iCSR Published,9/26/2022,9/12/2022
U4015850,KJX839A1 hypercholesterolemia JP,Last SumOutp,8/30/2022,8/3/2022
U4015850,KJX839A1 hypercholesterolemia JP,First dispatch,NULL,11/17/2022
U4015850,KJX839A1 hypercholesterolemia JP,WP close out,NULL,12/29/2023
U4016751,INC280A NSCLC China NDA,Submission KO,5/12/2022,5/16/2022
U4016751,INC280A NSCLC China NDA,Last study DBL,NULL,3/5/2024
U4016751,INC280A NSCLC China NDA,Last study CSR Published,NULL,8/28/2024
U4016751,INC280A NSCLC China NDA,Last SumOutp,NULL,11/4/2022
U4016751,INC280A NSCLC China NDA,First dispatch,NULL,2/28/2023
U4016751,INC280A NSCLC China NDA,WP close out,NULL,3/29/2024
U4019652,CTL019B ALL B2202 Type II/FUM,Submission KO,NULL,11/15/2022
U4019652,CTL019B ALL B2202 Type II/FUM,Last study DBL,NULL,1/16/2023
U4019652,CTL019B ALL B2202 Type II/FUM,Last study CSR Published,NULL,5/1/2023
U4019652,CTL019B ALL B2202 Type II/FUM,Last SumOutp,NULL,3/15/2023
U4019652,CTL019B ALL B2202 Type II/FUM,First dispatch,NULL,5/12/2023
U4019652,CTL019B ALL B2202 Type II/FUM,WP close out,NULL,6/28/2024
U4016395,VDT482D1 1L ESCC sBLA/Type II,Submission KO,2/2/2022,2/2/2022
U4016395,VDT482D1 1L ESCC sBLA/Type II,Last study iDBL,NULL,NULL
U4016395,VDT482D1 1L ESCC sBLA/Type II,Last study iCSR Published,NULL,NULL
U4016395,VDT482D1 1L ESCC sBLA/Type II,Last SumOutp,NULL,1/16/2023
U4016395,VDT482D1 1L ESCC sBLA/Type II,First dispatch,NULL,5/10/2023
U4016395,VDT482D1 1L ESCC sBLA/Type II,WP close out,NULL,5/14/2025
U4016388,CTL019B DLBCL US03 Art46 EU,Submission KO,12/6/2021,12/6/2021
U4016388,CTL019B DLBCL US03 Art46 EU,Last study iDBL,NULL,NULL
U4016388,CTL019B DLBCL US03 Art46 EU,Last study iCSR Published,NULL,NULL
U4016388,CTL019B DLBCL US03 Art46 EU,Last SumOutp,2/7/2022,2/7/2022
U4016388,CTL019B DLBCL US03 Art46 EU,First dispatch,3/25/2022,3/25/2022
U4016388,CTL019B DLBCL US03 Art46 EU,WP close out,NULL,4/1/2024
U4018112,KJX839A1 hyperlipidemia Type II EU,Submission KO,4/6/2022,4/6/2022
U4018112,KJX839A1 hyperlipidemia Type II EU,Last study DBL,2/10/2022,2/28/2022
U4018112,KJX839A1 hyperlipidemia Type II EU,Last study CSR Published,6/19/2022,5/2/2022
U4018112,KJX839A1 hyperlipidemia Type II EU,Last SumOutp,4/22/2022,4/20/2022
U4018112,KJX839A1 hyperlipidemia Type II EU,First dispatch,6/27/2022,6/27/2022
U4018112,KJX839A1 hyperlipidemia Type II EU,WP close out,NULL,8/31/2023
U4018268,ABL001A 3L CML NDA China ,Submission KO,NULL,1/11/2023
U4018268,ABL001A 3L CML NDA China ,Last study iDBL,NULL,11/8/2024
U4018268,ABL001A 3L CML NDA China ,Last study iCSR Published,NULL,2/18/2025
U4018268,ABL001A 3L CML NDA China ,Last SumOutp,NULL,9/1/2023
U4018268,ABL001A 3L CML NDA China ,First dispatch,NULL,12/18/2023
U4018268,ABL001A 3L CML NDA China ,WP close out,NULL,3/3/2025
U4016758,CTL019B EU license renewal,Submission KO,1/25/2022,1/25/2022
U4016758,CTL019B EU license renewal,Last study iDBL,NULL,NULL
U4016758,CTL019B EU license renewal,Last study iCSR Published,NULL,NULL
U4016758,CTL019B EU license renewal,Last SumOutp,8/12/2022,8/15/2022
U4016758,CTL019B EU license renewal,First dispatch,NULL,11/9/2022
U4016758,CTL019B EU license renewal,WP close out,NULL,12/1/2023
U4012353,DRB436I BRAF pos tumors,Submission KO,1/29/2021,1/29/2021
U4012353,DRB436I BRAF pos tumors,Last study iDBL,NULL,NULL
U4012353,DRB436I BRAF pos tumors,Last study iCSR Published,NULL,NULL
U4012353,DRB436I BRAF pos tumors,Last SumOutp,6/21/2021,9/1/2021
U4012353,DRB436I BRAF pos tumors,First dispatch,9/22/2021,9/30/2021
U4012353,DRB436I BRAF pos tumors,WP close out,NULL,11/30/2022
U4018113,LTW888A1 EU license renewal,Submission KO,6/7/2022,6/30/2022
U4018113,LTW888A1 EU license renewal,Last study DBL,NULL,1/9/2030
U4018113,LTW888A1 EU license renewal,Last study CSR Published,NULL,4/12/2030
U4018113,LTW888A1 EU license renewal,Last SumOutp,NULL,10/31/2022
U4018113,LTW888A1 EU license renewal,First dispatch,NULL,1/26/2023
U4018113,LTW888A1 EU license renewal,WP close out,NULL,1/31/2024
U4013043,DRB436G peds glioma,Submission KO,5/27/2021,8/31/2021
U4013043,DRB436G peds glioma,Last study DBL,NULL,3/22/2023
U4013043,DRB436G peds glioma,Last study CSR Published,NULL,7/6/2023
U4013043,DRB436G peds glioma,Last SumOutp,3/10/2022,3/10/2022
U4013043,DRB436G peds glioma,First dispatch,8/17/2022,8/16/2022
U4013043,DRB436G peds glioma,WP close out,NULL,7/28/2023
U4013733,TMT212X Melanoma PAC,Submission KO,4/23/2021,9/1/2021
U4013733,TMT212X Melanoma PAC,Last study iDBL,NULL,NULL
U4013733,TMT212X Melanoma PAC,Last study iCSR Published,NULL,NULL
U4013733,TMT212X Melanoma PAC,Last SumOutp,6/11/2021,6/11/2021
U4013733,TMT212X Melanoma PAC,First dispatch,7/29/2021,9/1/2021
U4013733,TMT212X Melanoma PAC,WP close out,NULL,1/31/2023
U4013047,LEE011A male BC,Submission KO,NULL,11/15/2022
U4013047,LEE011A male BC,Last study DBL,NULL,1/9/2023
U4013047,LEE011A male BC,Last study CSR Published,NULL,4/28/2023
U4013047,LEE011A male BC,Last SumOutp,NULL,1/31/2023
U4013047,LEE011A male BC,First dispatch,NULL,4/28/2023
U4013047,LEE011A male BC,WP close out,NULL,6/28/2024
U4018264,KJX839A1 hyperlipidemia Orion-8 Type II,Submission KO,NULL,11/15/2022
U4018264,KJX839A1 hyperlipidemia Orion-8 Type II,Last study DBL,NULL,3/28/2023
U4018264,KJX839A1 hyperlipidemia Orion-8 Type II,Last study CSR Published,NULL,5/31/2023
U4018264,KJX839A1 hyperlipidemia Orion-8 Type II,Last SumOutp,NULL,9/1/2023
U4018264,KJX839A1 hyperlipidemia Orion-8 Type II,First dispatch,NULL,12/1/2023
U4018264,KJX839A1 hyperlipidemia Orion-8 Type II,WP close out,NULL,2/28/2025
U4016392,RTH258B DME 2-yr data label update EU/US,Submission KO,1/24/2022,1/24/2022
U4016392,RTH258B DME 2-yr data label update EU/US,Last study DBL,11/15/2021,11/22/2021
U4016392,RTH258B DME 2-yr data label update EU/US,Last study CSR Published,10/4/2022,3/18/2022
U4016392,RTH258B DME 2-yr data label update EU/US,Last SumOutp,7/29/2022,7/29/2022
U4016392,RTH258B DME 2-yr data label update EU/US,First dispatch,NULL,11/3/2022
U4016392,RTH258B DME 2-yr data label update EU/US,WP close out,NULL,12/4/2023
U4019111,AAA601A1 NET A12402 PAM,Submission KO,NULL,1/18/2023
U4019111,AAA601A1 NET A12402 PAM,Last study iDBL,NULL,NULL
U4019111,AAA601A1 NET A12402 PAM,Last study iCSR Published,NULL,NULL
U4019111,AAA601A1 NET A12402 PAM,Last SumOutp,NULL,10/2/2023
U4019111,AAA601A1 NET A12402 PAM,First dispatch,NULL,12/22/2023
U4019111,AAA601A1 NET A12402 PAM,WP close out,NULL,1/31/2025
U4018535,STI571I pALL Type II,Submission KO,9/13/2022,9/30/2022
U4018535,STI571I pALL Type II,Last study DBL,NULL,10/27/2022
U4018535,STI571I pALL Type II,Last study CSR Published,NULL,1/17/2023
U4018535,STI571I pALL Type II,Last SumOutp,NULL,11/18/2022
U4018535,STI571I pALL Type II,First dispatch,NULL,2/15/2023
U4018535,STI571I pALL Type II,WP close out,NULL,4/15/2024
U4018269,BYL719C PI3K+2/3L BC NDA China,Submission KO,NULL,11/15/2022
U4018269,BYL719C PI3K+2/3L BC NDA China,Last study iDBL,6/22/2022,11/28/2023
U4018269,BYL719C PI3K+2/3L BC NDA China,Last study iCSR Published,NULL,11/11/2022
U4018269,BYL719C PI3K+2/3L BC NDA China,Last SumOutp,NULL,3/31/2023
U4018269,BYL719C PI3K+2/3L BC NDA China,First dispatch,NULL,9/1/2023
U4018269,BYL719C PI3K+2/3L BC NDA China,WP close out,NULL,11/4/2024
U4016028,ABL001A PMR A23101 US,Submission KO,12/8/2021,12/8/2021
U4016028,ABL001A PMR A23101 US,Last study iDBL,11/19/2021,10/7/2021
U4016028,ABL001A PMR A23101 US,Last study iCSR Published,NULL,NULL
U4016028,ABL001A PMR A23101 US,Last SumOutp,2/21/2022,2/21/2022
U4016028,ABL001A PMR A23101 US,First dispatch,4/28/2022,4/29/2022
U4016028,ABL001A PMR A23101 US,WP close out,NULL,6/30/2023
U4012348,INC280A NSCLC,Submission KO,10/29/2020,10/29/2020
U4012348,INC280A NSCLC,Last study iDBL,11/11/2020,11/10/2020
U4012348,INC280A NSCLC,Last study iCSR Published,3/5/2021,2/15/2022
U4012348,INC280A NSCLC,Last SumOutp,2/1/2021,3/31/2021
U4012348,INC280A NSCLC,First dispatch,12/10/2019,12/10/2019
U4012348,INC280A NSCLC,WP close out,NULL,10/31/2022
U4014295,ACZ885T  NSCLC sBLA/Type II,Submission KO,2/9/2022,10/15/2021
U4014295,ACZ885T  NSCLC sBLA/Type II,Last study iDBL,5/20/2022,5/5/2022
U4014295,ACZ885T  NSCLC sBLA/Type II,Last study CSR Published,NULL,12/8/2023
U4014295,ACZ885T  NSCLC sBLA/Type II,First dispatch,NULL,NULL
U4014295,ACZ885T  NSCLC sBLA/Type II,WP close out,NULL,8/26/2022
U4014295,ACZ885T  NSCLC sBLA/Type II,Last SumOutp,NULL,NULL
U4016396,AAA001A1 GEP-NETs Type II/FUM EU,Submission KO,NULL,10/18/2023
U4016396,AAA001A1 GEP-NETs Type II/FUM EU,Last study iDBL,NULL,NULL
U4016396,AAA001A1 GEP-NETs Type II/FUM EU,Last study iCSR Published,NULL,NULL
U4016396,AAA001A1 GEP-NETs Type II/FUM EU,Last SumOutp,NULL,12/15/2023
U4016396,AAA001A1 GEP-NETs Type II/FUM EU,First dispatch,NULL,9/2/2024
U4016396,AAA001A1 GEP-NETs Type II/FUM EU,WP close out,NULL,10/31/2025
U4018261,RFB002H pediatric ROP Type II / Article 46,Submission KO,2/15/2022,2/15/2022
U4018261,RFB002H pediatric ROP Type II / Article 46,Last study DBL,5/26/2022,6/28/2022
U4018261,RFB002H pediatric ROP Type II / Article 46,Last study CSR Published,NULL,9/19/2022
U4018261,RFB002H pediatric ROP Type II / Article 46,Last SumOutp,9/22/2022,7/1/2022
U4018261,RFB002H pediatric ROP Type II / Article 46,First dispatch,NULL,11/23/2022
U4018261,RFB002H pediatric ROP Type II / Article 46,WP close out,NULL,4/1/2024
U4018291,ETB115G Pediatric AA JP,Submission KO,3/25/2022,3/25/2022
U4018291,ETB115G Pediatric AA JP,Last study iDBL,7/22/2022,7/12/2022
U4018291,ETB115G Pediatric AA JP,Last study iCSR Published,NULL,11/23/2022
U4018291,ETB115G Pediatric AA JP,Last SumOutp,NULL,12/15/2022
U4018291,ETB115G Pediatric AA JP,First dispatch,NULL,3/31/2023
U4018291,ETB115G Pediatric AA JP,WP close out,NULL,12/29/2023
U4014274,SEG101A Sickle cell disease BLA/MAA update,Submission KO,6/14/2021,6/14/2021
U4014274,SEG101A Sickle cell disease BLA/MAA update,Last study iDBL,4/15/2019,4/12/2019
U4014274,SEG101A Sickle cell disease BLA/MAA update,Last study iCSR Published,9/27/2019,8/20/2019
U4014274,SEG101A Sickle cell disease BLA/MAA update,Last SumOutp,2/15/2022,2/15/2022
U4014274,SEG101A Sickle cell disease BLA/MAA update,First dispatch,2/28/2022,3/10/2022
U4014274,SEG101A Sickle cell disease BLA/MAA update,WP close out,NULL,10/25/2023
U4012339,ABL001A CML,Submission KO,9/16/2019,9/16/2019
U4012339,ABL001A CML,Last study iDBL,8/14/2020,8/12/2020
U4012339,ABL001A CML,Last study iCSR Published,1/18/2021,11/12/2020
