UID,SUBMISSION,MILESTONE,ACTUALDATE,PLANNEDDATE
U4012339,ABL001A CML,Last SumOutp,4/16/2021,4/16/2021
U4012339,ABL001A CML,First dispatch,6/22/2021,6/22/2021
U4012339,ABL001A CML,WP close out,NULL,1/16/2023
U4019110,AIN457A Pso A1402 Article46,Submission KO,9/2/2022,8/31/2022
U4019110,AIN457A Pso A1402 Article46,Last study DBL,4/19/2022,4/5/2022
U4019110,AIN457A Pso A1402 Article46,Last study CSR Published,7/28/2022,7/28/2022
U4019110,AIN457A Pso A1402 Article46,Last SumOutp,6/7/2022,9/1/2022
U4019110,AIN457A Pso A1402 Article46,First dispatch,10/18/2022,10/19/2022
U4019110,AIN457A Pso A1402 Article46,WP close out,NULL,6/30/2023
U4018260,RTH258B DME China NDA ,Submission KO,6/23/2022,6/30/2022
U4018260,RTH258B DME China NDA ,Last study DBL,NULL,3/10/2023
U4018260,RTH258B DME China NDA ,Last study CSR Published,NULL,6/21/2023
U4018260,RTH258B DME China NDA ,Last SumOutp,NULL,5/4/2023
U4018260,RTH258B DME China NDA ,First dispatch,NULL,8/14/2023
U4018260,RTH258B DME China NDA ,WP close out,NULL,9/30/2024
U4018272,INC424F1/G1 peds acute/chronic GvHD MAA,Submission KO,9/12/2022,9/12/2022
U4018272,INC424F1/G1 peds acute/chronic GvHD MAA,Last study iDBL,NULL,11/30/2022
U4018272,INC424F1/G1 peds acute/chronic GvHD MAA,Last study iCSR Published,NULL,4/18/2023
U4018272,INC424F1/G1 peds acute/chronic GvHD MAA,Last SumOutp,NULL,10/2/2023
U4018272,INC424F1/G1 peds acute/chronic GvHD MAA,First dispatch,NULL,12/14/2023
U4018272,INC424F1/G1 peds acute/chronic GvHD MAA,WP close out,NULL,2/28/2025
U4018652,DRB436I BRAF pos solid tumors JP,Submission KO,12/8/2021,12/8/2021
U4018652,DRB436I BRAF pos solid tumors JP,Last study iDBL,NULL,NULL
U4018652,DRB436I BRAF pos solid tumors JP,Last study iCSR Published,NULL,NULL
U4018652,DRB436I BRAF pos solid tumors JP,Last SumOutp,NULL,10/3/2022
U4018652,DRB436I BRAF pos solid tumors JP,First dispatch,NULL,3/15/2023
U4018652,DRB436I BRAF pos solid tumors JP,WP close out,NULL,12/25/2023
U4012359,CTL019E r/r FL Clinical Submission Planning,Submission KO,1/30/2020,1/30/2020
U4012359,CTL019E r/r FL Clinical Submission Planning,Last study iDBL,9/15/2021,9/14/2021
U4012359,CTL019E r/r FL Clinical Submission Planning,Last study iCSR Published,7/29/2021,8/4/2021
U4012359,CTL019E r/r FL Clinical Submission Planning,Last SumOutp,6/14/2021,6/14/2021
U4012359,CTL019E r/r FL Clinical Submission Planning,First dispatch,8/27/2021,8/25/2021
U4012359,CTL019E r/r FL Clinical Submission Planning,WP close out,NULL,2/28/2023
U4012356,AMN107A pediatric,Submission KO,9/22/2020,12/11/2020
U4012356,AMN107A pediatric,Last study DBL,9/22/2020,9/30/2020
U4012356,AMN107A pediatric,Last study CSR Published,1/27/2021,12/28/2020
U4012356,AMN107A pediatric,Last SumOutp,1/4/2021,1/4/2021
U4012356,AMN107A pediatric,First dispatch,2/25/2021,2/25/2021
U4012356,AMN107A pediatric,WP close out,NULL,4/21/2023
U4016759,OAV101B1 SMA CL-102 Art46 EU,Submission KO,1/27/2022,1/27/2022
U4016759,OAV101B1 SMA CL-102 Art46 EU,Last study iDBL,NULL,NULL
U4016759,OAV101B1 SMA CL-102 Art46 EU,Last study iCSR Published,NULL,NULL
U4016759,OAV101B1 SMA CL-102 Art46 EU,Last SumOutp,1/21/2022,1/21/2022
U4016759,OAV101B1 SMA CL-102 Art46 EU,First dispatch,4/5/2022,4/5/2022
U4016759,OAV101B1 SMA CL-102 Art46 EU,WP close out,NULL,11/30/2022
U4016363,CTL019H DLBCL Type II EU,Submission KO,10/11/2021,10/11/2021
U4016363,CTL019H DLBCL Type II EU,Last study iDBL,7/9/2021,7/8/2021
U4016363,CTL019H DLBCL Type II EU,Last study iCSR Published,2/25/2022,2/10/2022
U4016363,CTL019H DLBCL Type II EU,Last SumOutp,12/14/2021,12/14/2021
U4016363,CTL019H DLBCL Type II EU,First dispatch,3/2/2022,3/2/2022
U4016363,CTL019H DLBCL Type II EU,WP close out,NULL,5/1/2023
U4016026,CTL019C Type II pediatric commitment,Submission KO,11/16/2021,11/16/2021
U4016026,CTL019C Type II pediatric commitment,Last study iDBL,12/23/2021,11/19/2021
U4016026,CTL019C Type II pediatric commitment,Last study iCSR Published,3/24/2022,3/22/2022
U4016026,CTL019C Type II pediatric commitment,Last SumOutp,1/24/2022,1/24/2022
U4016026,CTL019C Type II pediatric commitment,First dispatch,4/7/2022,4/8/2022
U4016026,CTL019C Type II pediatric commitment,WP close out,NULL,1/24/2024
U4016757,ETB115J ITP  J2411 Type II/sNDA EU,Submission KO,3/2/2022,3/2/2022
U4016757,ETB115J ITP  J2411 Type II/sNDA EU,Last study iDBL,NULL,NULL
U4016757,ETB115J ITP  J2411 Type II/sNDA EU,Last study iCSR Published,NULL,NULL
U4016757,ETB115J ITP  J2411 Type II/sNDA EU,Last SumOutp,2/23/2022,2/23/2022
U4016757,ETB115J ITP  J2411 Type II/sNDA EU,First dispatch,9/9/2022,9/9/2022
U4016757,ETB115J ITP  J2411 Type II/sNDA EU,WP close out,NULL,8/8/2023
U4013044,MBG453B1 high-risk MDS  MAA/NDA,Submission KO,1/10/2022,4/1/2022
U4013044,MBG453B1 high-risk MDS  MAA/NDA,Last study iDBL,7/11/2022,7/12/2022
U4013044,MBG453B1 high-risk MDS  MAA/NDA,Last study iCSR Published,NULL,NULL
U4013044,MBG453B1 high-risk MDS  MAA/NDA,Last SumOutp,NULL,10/6/2023
U4013044,MBG453B1 high-risk MDS  MAA/NDA,First dispatch,NULL,3/29/2024
U4013044,MBG453B1 high-risk MDS  MAA/NDA,WP close out,NULL,5/1/2024
U4019423,VDT482F1 GC (FA) MAA/sBLA/JP NDA,Submission KO,NULL,10/31/2022
U4019423,VDT482F1 GC (FA) MAA/sBLA/JP NDA,Last study iDBL,NULL,NULL
U4019423,VDT482F1 GC (FA) MAA/sBLA/JP NDA,Last study iCSR Published,NULL,NULL
U4019423,VDT482F1 GC (FA) MAA/sBLA/JP NDA,Last SumOutp,NULL,6/30/2023
U4019423,VDT482F1 GC (FA) MAA/sBLA/JP NDA,First dispatch,NULL,9/29/2023
U4019423,VDT482F1 GC (FA) MAA/sBLA/JP NDA,WP close out,NULL,12/2/2024
U4019025,AAA601A3 GEP-NETs pediatrics Type II/sNDA,Submission KO,NULL,10/24/2022
U4019025,AAA601A3 GEP-NETs pediatrics Type II/sNDA,Last study iDBL,NULL,NULL
U4019025,AAA601A3 GEP-NETs pediatrics Type II/sNDA,Last study iCSR Published,NULL,NULL
U4019025,AAA601A3 GEP-NETs pediatrics Type II/sNDA,Last SumOutp,NULL,7/31/2023
U4019025,AAA601A3 GEP-NETs pediatrics Type II/sNDA,First dispatch,NULL,10/5/2023
U4019025,AAA601A3 GEP-NETs pediatrics Type II/sNDA,WP close out,NULL,12/2/2024
U4018265,BYL719O1 PROS granules sBLA,Submission KO,9/27/2022,9/26/2022
U4018265,BYL719O1 PROS granules sBLA,Last study iDBL,NULL,NULL
U4018265,BYL719O1 PROS granules sBLA,Last study iCSR Published,NULL,NULL
U4018265,BYL719O1 PROS granules sBLA,Last SumOutp,NULL,3/31/2023
U4018265,BYL719O1 PROS granules sBLA,First dispatch,NULL,6/30/2023
U4018265,BYL719O1 PROS granules sBLA,WP close out,NULL,9/2/2024
U4016389,AMG334A Migraine EU license renewal,Submission KO,3/10/2022,3/10/2022
U4016389,AMG334A Migraine EU license renewal,Last study DBL,3/16/2021,3/11/2021
U4016389,AMG334A Migraine EU license renewal,Last study CSR Published,8/11/2021,9/7/2021
U4016389,AMG334A Migraine EU license renewal,Last SumOutp,12/13/2021,12/13/2021
U4016389,AMG334A Migraine EU license renewal,First dispatch,8/29/2022,10/3/2022
U4016389,AMG334A Migraine EU license renewal,WP close out,NULL,3/31/2023
U4013054,LEE011A BC label update,Submission KO,8/31/2021,8/31/2021
U4013054,LEE011A BC label update,Last study DBL,NULL,2/3/2023
U4013054,LEE011A BC label update,Last study iCSR Published,NULL,NULL
U4013054,LEE011A BC label update,Last SumOutp,10/26/2021,10/22/2021
U4013054,LEE011A BC label update,First dispatch,1/20/2022,12/31/2021
U4013054,LEE011A BC label update,WP close out,NULL,12/30/2022
U4018111,PKC412A AML A2408 Type II EU ,Submission KO,6/3/2022,4/11/2022
U4018111,PKC412A AML A2408 Type II EU ,Last study DBL,8/24/2021,8/17/2021
U4018111,PKC412A AML A2408 Type II EU ,Last study CSR Published,3/16/2022,7/8/2022
U4018111,PKC412A AML A2408 Type II EU ,Last SumOutp,9/15/2022,9/15/2022
U4018111,PKC412A AML A2408 Type II EU ,First dispatch,NULL,12/22/2022
U4018111,PKC412A AML A2408 Type II EU ,WP close out,NULL,1/31/2024
U4013743,AAA517A1 Prostate cancer MAA/NDA,Submission KO,1/21/2020,1/21/2020
U4013743,AAA517A1 Prostate cancer MAA/NDA,Last study iDBL,3/12/2021,3/12/2021
U4013743,AAA517A1 Prostate cancer MAA/NDA,Last study iCSR Published,NULL,NULL
U4013743,AAA517A1 Prostate cancer MAA/NDA,Last SumOutp,6/15/2021,6/15/2021
U4013743,AAA517A1 Prostate cancer MAA/NDA,First dispatch,7/29/2021,7/29/2021
U4013743,AAA517A1 Prostate cancer MAA/NDA,WP close out,NULL,1/31/2023
U4012354,AAA601A1 lutathera tumors,Submission KO,8/18/2020,8/18/2020
U4012354,AAA601A1 lutathera tumors,Last study iDBL,NULL,NULL
U4012354,AAA601A1 lutathera tumors,Last study iCSR Published,NULL,NULL
U4012354,AAA601A1 lutathera tumors,Last SumOutp,8/18/2020,8/2/2021
U4012354,AAA601A1 lutathera tumors,First dispatch,8/13/2021,8/13/2021
U4012354,AAA601A1 lutathera tumors,WP close out,NULL,3/31/2023
U4013741,VDT482B1 1L/2L NSCLC MAA,Submission KO,6/24/2021,3/31/2021
U4013741,VDT482B1 1L/2L NSCLC MAA,Last study iDBL,NULL,NULL
U4013741,VDT482B1 1L/2L NSCLC MAA,Last study iCSR Published,NULL,NULL
U4013741,VDT482B1 1L/2L NSCLC MAA,Last SumOutp,12/2/2021,3/31/2021
U4013741,VDT482B1 1L/2L NSCLC MAA,First dispatch,3/3/2022,3/4/2022
U4013741,VDT482B1 1L/2L NSCLC MAA,WP close out,NULL,1/31/2024
U4018267,BYL719K1 Ovarian cancer sBLA/type II,Submission KO,NULL,1/18/2023
U4018267,BYL719K1 Ovarian cancer sBLA/type II,Last study iDBL,NULL,NULL
U4018267,BYL719K1 Ovarian cancer sBLA/type II,Last study iCSR Published,NULL,NULL
U4018267,BYL719K1 Ovarian cancer sBLA/type II,Last SumOutp,NULL,9/29/2023
U4018267,BYL719K1 Ovarian cancer sBLA/type II,First dispatch,NULL,11/15/2023
U4018267,BYL719K1 Ovarian cancer sBLA/type II,WP close out,NULL,2/3/2025
U4013045,PKC412E FLT3-WT AML,Submission KO,6/17/2021,9/1/2021
U4013045,PKC412E FLT3-WT AML,Last study DBL,3/31/2021,3/26/2021
U4013045,PKC412E FLT3-WT AML,Last study CSR Published,11/29/2021,11/30/2021
U4013045,PKC412E FLT3-WT AML,Last SumOutp,11/17/2021,11/17/2021
U4013045,PKC412E FLT3-WT AML,First dispatch,12/15/2021,9/17/2021
U4013045,PKC412E FLT3-WT AML,WP close out,NULL,11/30/2022
U4019108,LCZ696B HFrEF B2015 FUM,Submission KO,8/31/2022,9/1/2022
U4019108,LCZ696B HFrEF B2015 FUM,Last study iDBL,NULL,NULL
U4019108,LCZ696B HFrEF B2015 FUM,Last study iCSR Published,NULL,NULL
U4019108,LCZ696B HFrEF B2015 FUM,Last SumOutp,11/1/2022,9/30/2022
U4019108,LCZ696B HFrEF B2015 FUM,First dispatch,NULL,12/20/2022
U4019108,LCZ696B HFrEF B2015 FUM,WP close out,NULL,1/31/2024
U4016753,VDT482H1 1L HCC sBLA/Type II US/EU,Submission KO,6/9/2022,6/9/2022
U4016753,VDT482H1 1L HCC sBLA/Type II US/EU,Last study iDBL,NULL,NULL
U4016753,VDT482H1 1L HCC sBLA/Type II US/EU,Last study iCSR Published,NULL,NULL
U4016753,VDT482H1 1L HCC sBLA/Type II US/EU,Last SumOutp,NULL,3/24/2023
U4016753,VDT482H1 1L HCC sBLA/Type II US/EU,First dispatch,NULL,6/16/2023
U4016753,VDT482H1 1L HCC sBLA/Type II US/EU,WP close out,NULL,12/13/2024
U4013040,AIN457P1 IV PsA and AIN457Z1 IV SpA,Submission KO,7/8/2021,7/1/2021
U4013040,AIN457P1 IV PsA and AIN457Z1 IV SpA,Last study iDBL,NULL,7/29/2022
U4013040,AIN457P1 IV PsA and AIN457Z1 IV SpA,Last study iCSR Published,NULL,10/5/2022
U4013040,AIN457P1 IV PsA and AIN457Z1 IV SpA,Last SumOutp,9/15/2022,8/19/2022
U4013040,AIN457P1 IV PsA and AIN457Z1 IV SpA,First dispatch,NULL,11/15/2022
U4013040,AIN457P1 IV PsA and AIN457Z1 IV SpA,WP close out,NULL,1/31/2023
U4019107,LCZ696B HFrEF B2014 FUM,Submission KO,9/8/2022,8/31/2022
U4019107,LCZ696B HFrEF B2014 FUM,Last study iDBL,NULL,NULL
U4019107,LCZ696B HFrEF B2014 FUM,Last study iCSR Published,NULL,NULL
U4019107,LCZ696B HFrEF B2014 FUM,Last SumOutp,NULL,9/30/2022
U4019107,LCZ696B HFrEF B2014 FUM,First dispatch,NULL,12/21/2022
U4019107,LCZ696B HFrEF B2014 FUM,WP close out,NULL,1/31/2024
U4013744,AAA617A1 Prostate cancer MAA/NDA,Submission KO,1/21/2020,1/21/2020
U4013744,AAA617A1 Prostate cancer MAA/NDA,Last study iDBL,3/12/2021,3/12/2021
U4013744,AAA617A1 Prostate cancer MAA/NDA,Last study iCSR Published,6/28/2021,6/28/2021
U4013744,AAA617A1 Prostate cancer MAA/NDA,Last SumOutp,6/15/2021,6/15/2021
U4013744,AAA617A1 Prostate cancer MAA/NDA,First dispatch,7/29/2021,7/29/2021
U4013744,AAA617A1 Prostate cancer MAA/NDA,WP close out,NULL,1/31/2023
U4015342,VDT482G1  NPC BLA MAA,Submission KO,9/13/2021,9/13/2021
U4015342,VDT482G1  NPC BLA MAA,Last study iDBL,NULL,NULL
U4015342,VDT482G1  NPC BLA MAA,Last study iCSR Published,NULL,NULL
U4015342,VDT482G1  NPC BLA MAA,Last SumOutp,5/10/2022,7/31/2023
U4015342,VDT482G1  NPC BLA MAA,First dispatch,NULL,8/18/2023
U4015342,VDT482G1  NPC BLA MAA,WP close out,NULL,6/2/2025
U4012350,LTW888A1 Retinal dystrophy,Submission KO,4/1/2021,3/15/2021
U4012350,LTW888A1 Retinal dystrophy,Last study iDBL,4/21/2022,5/2/2022
U4012350,LTW888A1 Retinal dystrophy,Last study iCSR Published,NULL,8/2/2022
U4012350,LTW888A1 Retinal dystrophy,Last SumOutp,7/13/2022,7/25/2022
U4012350,LTW888A1 Retinal dystrophy,First dispatch,9/30/2022,9/30/2022
U4012350,LTW888A1 Retinal dystrophy,WP close out,NULL,7/31/2023
U4012355,ACZ885C2 Schnitzler disease,Submission KO,1/11/2021,1/11/2021
U4012355,ACZ885C2 Schnitzler disease,Last study iDBL,NULL,NULL
U4012355,ACZ885C2 Schnitzler disease,Last study iCSR Published,NULL,NULL
U4012355,ACZ885C2 Schnitzler disease,Last SumOutp,1/11/2021,1/11/2021
U4012355,ACZ885C2 Schnitzler disease,First dispatch,6/25/2021,6/25/2021
U4012355,ACZ885C2 Schnitzler disease,WP close out,NULL,5/5/2023
U4016752,VDT482J1 Localized ESCC sBLA/Type II EU/US,Submission KO,2/3/2022,1/31/2023
U4016752,VDT482J1 Localized ESCC sBLA/Type II EU/US,Last study iDBL,NULL,NULL
U4016752,VDT482J1 Localized ESCC sBLA/Type II EU/US,Last study iCSR Published,NULL,NULL
U4016752,VDT482J1 Localized ESCC sBLA/Type II EU/US,Last SumOutp,NULL,9/29/2023
U4016752,VDT482J1 Localized ESCC sBLA/Type II EU/US,First dispatch,NULL,12/22/2023
U4016752,VDT482J1 Localized ESCC sBLA/Type II EU/US,WP close out,NULL,5/19/2025
U4018271,INC280A 2/3L MET mut NSCLC NDA China,Submission KO,NULL,7/5/2023
U4018271,INC280A 2/3L MET mut NSCLC NDA China,Last study DBL,NULL,3/5/2024
U4018271,INC280A 2/3L MET mut NSCLC NDA China,Last study CSR Published,NULL,8/28/2024
U4018271,INC280A 2/3L MET mut NSCLC NDA China,Last SumOutp,NULL,3/1/2024
U4018271,INC280A 2/3L MET mut NSCLC NDA China,First dispatch,NULL,6/28/2024
U4018271,INC280A 2/3L MET mut NSCLC NDA China,WP close out,NULL,8/29/2025
U4018832,LCZ696B HF PASS EU Type II/US PAC,Submission KO,8/31/2022,8/31/2022
U4018832,LCZ696B HF PASS EU Type II/US PAC,Last study DBL,7/13/2022,7/13/2022
U4018832,LCZ696B HF PASS EU Type II/US PAC,Last study CSR Published,NULL,11/17/2022
U4018832,LCZ696B HF PASS EU Type II/US PAC,Last SumOutp,NULL,11/1/2022
U4018832,LCZ696B HF PASS EU Type II/US PAC,First dispatch,NULL,2/28/2023
U4018832,LCZ696B HF PASS EU Type II/US PAC,WP close out,NULL,4/1/2024
U4013737,PKC412 multi-indication EU License renewal,Submission KO,2/19/2021,6/30/2021
U4013737,PKC412 multi-indication EU License renewal,Last study iDBL,NULL,NULL
U4013737,PKC412 multi-indication EU License renewal,Last study iCSR Published,NULL,NULL
U4013737,PKC412 multi-indication EU License renewal,Last SumOutp,8/26/2021,8/26/2021
U4013737,PKC412 multi-indication EU License renewal,First dispatch,11/3/2021,11/3/2021
U4013737,PKC412 multi-indication EU License renewal,WP close out,NULL,1/31/2023
U4013032,INC280A US PMR,Submission KO,6/24/2021,6/24/2021
U4013032,INC280A US PMR,Last study iDBL,10/8/2021,10/5/2021
U4013032,INC280A US PMR,Last study iCSR Published,1/19/2022,1/3/2022
U4013032,INC280A US PMR,Last SumOutp,10/29/2021,10/29/2021
U4013032,INC280A US PMR,First dispatch,2/24/2022,2/4/2022
U4013032,INC280A US PMR,WP close out,NULL,4/28/2023
U4016025,LNP023C1 PNH,Submission KO,1/20/2022,1/20/2022
U4016025,LNP023C1 PNH,Last study iDBL,10/17/2022,10/14/2022
U4016025,LNP023C1 PNH,Last study iCSR Published,NULL,1/23/2023
U4016025,LNP023C1 PNH,Last SumOutp,NULL,1/13/2023
U4016025,LNP023C1 PNH,First dispatch,NULL,4/5/2023
U4016025,LNP023C1 PNH,WP close out,NULL,9/30/2024
U4019424,AMG334A migraine Type II,Submission KO,NULL,10/6/2022
U4019424,AMG334A migraine Type II,Last study DBL,3/16/2021,3/11/2021
U4019424,AMG334A migraine Type II,Last study CSR Published,8/11/2021,9/7/2021
U4019424,AMG334A migraine Type II,Last SumOutp,NULL,10/31/2022
U4019424,AMG334A migraine Type II,First dispatch,NULL,2/24/2023
U4019424,AMG334A migraine Type II,WP close out,NULL,2/29/2024
U4018116,VDT482E1 1L SCLC sBLA/Type II US/EU,Submission KO,NULL,1/27/2023
U4018116,VDT482E1 1L SCLC sBLA/Type II US/EU,Last study iDBL,NULL,NULL
U4018116,VDT482E1 1L SCLC sBLA/Type II US/EU,Last study iCSR Published,NULL,NULL
U4018116,VDT482E1 1L SCLC sBLA/Type II US/EU,Last SumOutp,NULL,10/31/2023
U4018116,VDT482E1 1L SCLC sBLA/Type II US/EU,First dispatch,NULL,1/26/2024
U4018116,VDT482E1 1L SCLC sBLA/Type II US/EU,WP close out,NULL,6/27/2025
U4013042,AIN457M HS,Submission KO,3/18/2020,3/18/2020
U4013042,AIN457M HS,Last study iDBL,11/10/2021,11/11/2021
U4013042,AIN457M HS,Last study iCSR Published,4/27/2022,4/27/2022
U4013042,AIN457M HS,Last SumOutp,6/24/2022,6/24/2022
U4013042,AIN457M HS,First dispatch,5/30/2022,10/19/2022
U4013042,AIN457M HS,WP close out,NULL,1/31/2024
U4016754,ETB115I ARS I2102 Type II/sNDA EU/US,Submission KO,2/28/2022,11/15/2022
U4016754,ETB115I ARS I2102 Type II/sNDA EU/US,Last study DBL,7/9/2021,4/29/2022
U4016754,ETB115I ARS I2102 Type II/sNDA EU/US,Last study CSR Published,3/15/2022,12/13/2022
U4016754,ETB115I ARS I2102 Type II/sNDA EU/US,Last SumOutp,NULL,1/10/2023
U4016754,ETB115I ARS I2102 Type II/sNDA EU/US,First dispatch,NULL,3/31/2023
U4016754,ETB115I ARS I2102 Type II/sNDA EU/US,WP close out,NULL,4/30/2024
U4018263,LCZ696F pediatric CHF China NDA,Submission KO,7/15/2022,7/15/2022
U4018263,LCZ696F pediatric CHF China NDA,Last study DBL,1/27/2022,1/27/2022
U4018263,LCZ696F pediatric CHF China NDA,Last study CSR Published,6/2/2022,4/28/2022
U4018263,LCZ696F pediatric CHF China NDA,Last SumOutp,NULL,10/21/2022
U4018263,LCZ696F pediatric CHF China NDA,First dispatch,NULL,11/18/2022
U4018263,LCZ696F pediatric CHF China NDA,WP close out,NULL,1/1/2024
U4013049,"LEE011O1 HR+, HER2- early BC",Submission KO,3/8/2022,1/31/2022
U4013049,"LEE011O1 HR+, HER2- early BC",Last study iDBL,11/9/2021,11/16/2021
U4013049,"LEE011O1 HR+, HER2- early BC",Last study iCSR Published,NULL,3/7/2023
U4013049,"LEE011O1 HR+, HER2- early BC",Last SumOutp,NULL,1/10/2023
U4013049,"LEE011O1 HR+, HER2- early BC",First dispatch,NULL,3/31/2023
U4013049,"LEE011O1 HR+, HER2- early BC",WP close out,NULL,4/30/2024
U4013051,DRB436B adolescent melanoma,Submission KO,11/15/2021,7/1/2021
U4013051,DRB436B adolescent melanoma,Last study iDBL,NULL,NULL
U4013051,DRB436B adolescent melanoma,Last study iCSR Published,NULL,NULL
U4013051,DRB436B adolescent melanoma,Last SumOutp,7/28/2022,7/29/2022
U4013051,DRB436B adolescent melanoma,First dispatch,NULL,4/28/2023
U4013051,DRB436B adolescent melanoma,WP close out,NULL,6/30/2023
U4014578,AMG334A Migraine China NDA,Submission KO,6/30/2021,6/30/2021
U4014578,AMG334A Migraine China NDA,Last study iDBL,9/15/2021,9/28/2021
U4014578,AMG334A Migraine China NDA,Last study iCSR Published,1/20/2022,12/17/2021
U4014578,AMG334A Migraine China NDA,Last SumOutp,12/28/2021,12/28/2021
U4014578,AMG334A Migraine China NDA,First dispatch,3/7/2022,3/30/2022
U4014578,AMG334A Migraine China NDA,WP close out,NULL,12/25/2023
U4019026,AAA601A2 GEP-NETs G2/3 Type II/sNDA,Submission KO,NULL,1/18/2023
U4019026,AAA601A2 GEP-NETs G2/3 Type II/sNDA,Last study iDBL,NULL,1/15/2024
U4019026,AAA601A2 GEP-NETs G2/3 Type II/sNDA,Last study iCSR Published,NULL,6/3/2024
U4019026,AAA601A2 GEP-NETs G2/3 Type II/sNDA,Last SumOutp,NULL,1/31/2024
U4019026,AAA601A2 GEP-NETs G2/3 Type II/sNDA,First dispatch,NULL,4/30/2024
U4019026,AAA601A2 GEP-NETs G2/3 Type II/sNDA,WP close out,NULL,6/2/2025
U4016397,BYL719F1 PROS Type II EU,Submission KO,10/20/2021,10/20/2021
U4016397,BYL719F1 PROS Type II EU,Last study iDBL,NULL,NULL
U4016397,BYL719F1 PROS Type II EU,Last study iCSR Published,NULL,NULL
U4016397,BYL719F1 PROS Type II EU,Last SumOutp,4/11/2022,4/11/2022
U4016397,BYL719F1 PROS Type II EU,First dispatch,6/27/2022,6/27/2022
U4016397,BYL719F1 PROS Type II EU,WP close out,NULL,10/30/2023
U4018653,AIN457K AS300mg JP,Submission KO,6/30/2022,6/30/2022
U4018653,AIN457K AS300mg JP,Last study DBL,6/30/2022,6/29/2022
U4018653,AIN457K AS300mg JP,Last study CSR Published,10/6/2022,10/6/2022
U4018653,AIN457K AS300mg JP,Last SumOutp,NULL,10/31/2022
U4018653,AIN457K AS300mg JP,First dispatch,NULL,3/31/2023
U4018653,AIN457K AS300mg JP,WP close out,NULL,4/30/2024
